full_name,court_id,court_level,appointing_president,president_party,nomination_date,confirmation_date,commission_date,recess_appointment_date,senior_date,termination_date,termination_reason,date_precision,sitting,fjc_jid,fedsoc_reported,acs_reported,photo_url,photo_source,photo_license,source,notes
James Franklin Battin,mtd,district,Richard M. Nixon,Republican,1969-02-20,1969-02-25,1969-02-27,,1990-02-13,1996-09-27,Death,day,false,118,,,,,,fjc_bulk,
George Edward MacKinnon,cadc,circuit,Richard M. Nixon,Republican,1969-04-23,1969-05-05,1969-05-06,,1983-05-20,1995-05-01,Death,day,false,1455,,,,,,fjc_bulk,
Roger Robb,cadc,circuit,Richard M. Nixon,Republican,1969-04-23,1969-05-05,1969-05-06,,1982-05-31,1985-12-19,Death,day,false,2022,,,,,,fjc_bulk,
John Berne Hannum,paed,district,Richard M. Nixon,Republican,1969-03-24,1969-05-05,1969-05-06,,1984-05-29,2007-04-23,Death,day,false,971,,,,,,fjc_bulk,
George Harrold Carswell,ca5,circuit,Richard M. Nixon,Republican,1969-05-12,1969-06-19,1969-06-20,,,1970-04-20,Resignation,day,false,387,,,,,,fjc_bulk,
David Welford Williams,cacd,district,Richard M. Nixon,Republican,1969-05-08,1969-06-19,1969-06-20,,1981-01-17,2000-05-06,Death,day,false,2594,,,,,,fjc_bulk,
Warren Earl Burger,scotus,scotus,Richard M. Nixon,Republican,1969-05-23,1969-06-09,1969-06-23,,1986-09-26,1995-06-25,Death,day,false,319,,,https://upload.wikimedia.org/wikipedia/commons/4/47/Warren_e_burger_photo.jpeg,https://commons.wikimedia.org/wiki/File:Warren_e_burger_photo.jpeg,Public domain,fjc_bulk,
Gerald Sanford Levin,cand,district,Richard M. Nixon,Republican,1969-06-13,1969-07-11,1969-07-14,,,1971-06-05,Death,day,false,1388,,,,,,fjc_bulk,
Hiram Emory Widener Jr.,vawd,district,Richard M. Nixon,Republican,1969-06-19,1969-07-11,1969-07-14,,,1972-10-28,Appointment to Another Judicial Position,day,false,2574,,,,,,fjc_bulk,
Frank Hampton McFadden,alnd,district,Richard M. Nixon,Republican,1969-07-22,1969-08-08,1969-08-09,,,1982-01-01,Resignation,day,false,1548,,,,,,fjc_bulk,
Eugene Allen Wright,ca9,circuit,Richard M. Nixon,Republican,1969-06-23,1969-09-12,1969-09-15,,1983-09-15,2002-09-03,Death,day,false,2659,,,,,,fjc_bulk,
John Francis Kilkenny,ca9,circuit,Richard M. Nixon,Republican,1969-05-12,1969-09-12,1969-09-16,,1971-11-01,1995-02-17,Death,day,false,1277,,,,,,fjc_bulk,
Ozell Miller Trask,ca9,circuit,Richard M. Nixon,Republican,1969-06-26,1969-09-12,1969-09-16,,1979-10-31,1984-05-05,Death,day,false,2404,,,,,,fjc_bulk,
Arlin Marvin Adams,ca3,circuit,Richard M. Nixon,Republican,1969-09-22,1969-10-01,1969-10-02,,,1987-01-02,Retirement,day,false,8,,,,,,fjc_bulk,
Charles Clark,ca5,circuit,Richard M. Nixon,Republican,1969-10-07,1969-10-15,1969-10-17,,,1992-01-15,Retirement,day,false,437,,,,,,fjc_bulk,
Henry Luesing Brooks,ca6,circuit,Richard M. Nixon,Republican,1969-08-13,1969-12-10,1969-12-11,,,1971-12-30,Death,day,false,276,,,,,,fjc_bulk,
David Lycurgus Middlebrooks Jr.,flnd,district,Richard M. Nixon,Republican,1969-10-06,1969-12-10,1969-12-11,,,1974-08-01,Resignation,day,false,1636,,,,,,fjc_bulk,
Alfred Theodore Goodwin,ord,district,Richard M. Nixon,Republican,1969-09-22,1969-12-10,1969-12-11,,,1971-12-17,Appointment to Another Judicial Position,day,false,883,,,,,,fjc_bulk,
