circuit_id,justice_cl_person_id,justice_name,assignment_start_date,photo_url,photo_source,photo_license,source_url,notes
ca1,,Ketanji Brown Jackson,2022-09-28,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Ketanji_Brown_Jackson_2020.jpeg/330px-Ketanji_Brown_Jackson_2020.jpeg,https://commons.wikimedia.org/wiki/File:Ketanji_Brown_Jackson_2020.jpeg,"CC BY-SA 4.0 — credit: File:Ketanji Brown Jackson at Loeb House (Harvard University, 2020).jpg: Rose Lincoln, Harvard University derivative wor",https://www.supremecourt.gov/about/circuitassignments.aspx,SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42).
ca2,,Sonia Sotomayor,2022-09-28,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Sonia_Sotomayor_7_in_robe%2C_2009.jpg/330px-Sonia_Sotomayor_7_in_robe%2C_2009.jpg,"https://commons.wikimedia.org/wiki/File:Sonia_Sotomayor_7_in_robe,_2009.jpg",CC BY 3.0 — credit: Stacey Ilyse,https://www.supremecourt.gov/about/circuitassignments.aspx,SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42).
ca3,,"Samuel A. Alito, Jr.",2022-09-28,https://upload.wikimedia.org/wikipedia/commons/4/4f/Justice_Alito_official.jpg,https://commons.wikimedia.org/wiki/File:Justice_Alito_official.jpg,Public domain,https://www.supremecourt.gov/about/circuitassignments.aspx,SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42).
ca4,,"John G. Roberts, Jr.",2022-09-28,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Official_roberts_CJ.jpg/330px-Official_roberts_CJ.jpg,https://commons.wikimedia.org/wiki/File:Official_roberts_CJ.jpg,Public domain,https://www.supremecourt.gov/about/circuitassignments.aspx,"SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42); Chief Justice covers 4th, D.C., and Federal."
ca5,,"Samuel A. Alito, Jr.",2022-09-28,https://upload.wikimedia.org/wikipedia/commons/4/4f/Justice_Alito_official.jpg,https://commons.wikimedia.org/wiki/File:Justice_Alito_official.jpg,Public domain,https://www.supremecourt.gov/about/circuitassignments.aspx,SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42).
ca6,,Brett M. Kavanaugh,2022-09-28,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Associate_Justice_Brett_Kavanaugh_Official_Portrait.jpg/330px-Associate_Justice_Brett_Kavanaugh_Official_Portrait.jpg,https://commons.wikimedia.org/wiki/File:Associate_Justice_Brett_Kavanaugh_Official_Portrait.jpg,Public domain,https://www.supremecourt.gov/about/circuitassignments.aspx,SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42).
ca7,,Amy Coney Barrett,2022-09-28,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Amy_Coney_Barrett_official_portrait.jpg/330px-Amy_Coney_Barrett_official_portrait.jpg,https://commons.wikimedia.org/wiki/File:Amy_Coney_Barrett_official_portrait.jpg,Public domain,https://www.supremecourt.gov/about/circuitassignments.aspx,SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42).
ca8,,Brett M. Kavanaugh,2022-09-28,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Associate_Justice_Brett_Kavanaugh_Official_Portrait.jpg/330px-Associate_Justice_Brett_Kavanaugh_Official_Portrait.jpg,https://commons.wikimedia.org/wiki/File:Associate_Justice_Brett_Kavanaugh_Official_Portrait.jpg,Public domain,https://www.supremecourt.gov/about/circuitassignments.aspx,SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42).
ca9,,Elena Kagan,2022-09-28,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Elena_Kagan_Official_SCOTUS_Portrait_%282013%29.jpg/330px-Elena_Kagan_Official_SCOTUS_Portrait_%282013%29.jpg,https://commons.wikimedia.org/wiki/File:Elena_Kagan_Official_SCOTUS_Portrait_(2013).jpg,"CC BY-SA 3.0 — credit: Steve Petteway, Collection of the Supreme Court of the United States",https://www.supremecourt.gov/about/circuitassignments.aspx,SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42).
ca10,,Neil M. Gorsuch,2022-09-28,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Associate_Justice_Neil_Gorsuch_Official_Portrait.jpg/330px-Associate_Justice_Neil_Gorsuch_Official_Portrait.jpg,https://commons.wikimedia.org/wiki/File:Associate_Justice_Neil_Gorsuch_Official_Portrait.jpg,Public domain,https://www.supremecourt.gov/about/circuitassignments.aspx,SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42).
ca11,,Clarence Thomas,2022-09-28,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Clarence_Thomas_official_SCOTUS_portrait.jpg/330px-Clarence_Thomas_official_SCOTUS_portrait.jpg,https://commons.wikimedia.org/wiki/File:Clarence_Thomas_official_SCOTUS_portrait.jpg,Public domain,https://www.supremecourt.gov/about/circuitassignments.aspx,SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42).
cadc,,"John G. Roberts, Jr.",2022-09-28,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Official_roberts_CJ.jpg/330px-Official_roberts_CJ.jpg,https://commons.wikimedia.org/wiki/File:Official_roberts_CJ.jpg,Public domain,https://www.supremecourt.gov/about/circuitassignments.aspx,"SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42); Chief Justice covers 4th, D.C., and Federal."
cafc,,"John G. Roberts, Jr.",2022-09-28,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Official_roberts_CJ.jpg/330px-Official_roberts_CJ.jpg,https://commons.wikimedia.org/wiki/File:Official_roberts_CJ.jpg,Public domain,https://www.supremecourt.gov/about/circuitassignments.aspx,"SCOTUS circuit allotment effective 2022-09-28 (28 U.S.C. 42); Chief Justice covers 4th, D.C., and Federal."
