geoid,county_name,state_fips,court_id
01001,Autauga County,01,almd
01003,Baldwin County,01,alsd
01005,Barbour County,01,almd
01007,Bibb County,01,alnd
01009,Blount County,01,alnd
01011,Bullock County,01,almd
01013,Butler County,01,almd
01015,Calhoun County,01,alnd
01017,Chambers County,01,almd
01019,Cherokee County,01,alnd
01021,Chilton County,01,almd
01023,Choctaw County,01,alsd
01025,Clarke County,01,alsd
01027,Clay County,01,alnd
01029,Cleburne County,01,alnd
01031,Coffee County,01,almd
01033,Colbert County,01,alnd
01035,Conecuh County,01,alsd
01037,Coosa County,01,almd
01039,Covington County,01,almd
01041,Crenshaw County,01,almd
01043,Cullman County,01,alnd
01045,Dale County,01,almd
01047,Dallas County,01,alsd
01049,DeKalb County,01,alnd
01051,Elmore County,01,almd
01053,Escambia County,01,alsd
01055,Etowah County,01,alnd
01057,Fayette County,01,alnd
01059,Franklin County,01,alnd
01061,Geneva County,01,almd
01063,Greene County,01,alnd
01065,Hale County,01,alsd
01067,Henry County,01,almd
01069,Houston County,01,almd
01071,Jackson County,01,alnd
01073,Jefferson County,01,alnd
01075,Lamar County,01,alnd
01077,Lauderdale County,01,alnd
01079,Lawrence County,01,alnd
01081,Lee County,01,almd
01083,Limestone County,01,alnd
01085,Lowndes County,01,almd
01087,Macon County,01,almd
01089,Madison County,01,alnd
01091,Marengo County,01,alsd
01093,Marion County,01,alnd
01095,Marshall County,01,alnd
01097,Mobile County,01,alsd
01099,Monroe County,01,alsd
01101,Montgomery County,01,almd
01103,Morgan County,01,alnd
01105,Perry County,01,alsd
01107,Pickens County,01,alnd
01109,Pike County,01,almd
01111,Randolph County,01,almd
01113,Russell County,01,almd
01115,St. Clair County,01,alnd
01117,Shelby County,01,alnd
01119,Sumter County,01,alnd
01121,Talladega County,01,alnd
01123,Tallapoosa County,01,almd
01125,Tuscaloosa County,01,alnd
01127,Walker County,01,alnd
01129,Washington County,01,alsd
01131,Wilcox County,01,alsd
01133,Winston County,01,alnd
02013,Aleutians East Borough,02,akd
02016,Aleutians West Census Area,02,akd
02020,Anchorage Municipality,02,akd
02050,Bethel Census Area,02,akd
02060,Bristol Bay Borough,02,akd
02063,Chugach Census Area,02,akd
02066,Copper River Census Area,02,akd
02068,Denali Borough,02,akd
02070,Dillingham Census Area,02,akd
02090,Fairbanks North Star Borough,02,akd
02100,Haines Borough,02,akd
02105,Hoonah-Angoon Census Area,02,akd
02110,Juneau City and Borough,02,akd
02122,Kenai Peninsula Borough,02,akd
02130,Ketchikan Gateway Borough,02,akd
02150,Kodiak Island Borough,02,akd
02158,Kusilvak Census Area,02,akd
02164,Lake and Peninsula Borough,02,akd
02170,Matanuska-Susitna Borough,02,akd
02180,Nome Census Area,02,akd
02185,North Slope Borough,02,akd
02188,Northwest Arctic Borough,02,akd
02195,Petersburg Census Area,02,akd
02198,Prince of Wales-Hyder Census Area,02,akd
02220,Sitka City and Borough,02,akd
02230,Skagway Municipality,02,akd
02240,Southeast Fairbanks Census Area,02,akd
02275,Wrangell City and Borough,02,akd
02282,Yakutat City and Borough,02,akd
02290,Yukon-Koyukuk Census Area,02,akd
04001,Apache County,04,azd
04003,Cochise County,04,azd
04005,Coconino County,04,azd
04007,Gila County,04,azd
04009,Graham County,04,azd
04011,Greenlee County,04,azd
04012,La Paz County,04,azd
04013,Maricopa County,04,azd
04015,Mohave County,04,azd
04017,Navajo County,04,azd
04019,Pima County,04,azd
04021,Pinal County,04,azd
04023,Santa Cruz County,04,azd
04025,Yavapai County,04,azd
04027,Yuma County,04,azd
05001,Arkansas County,05,are
05003,Ashley County,05,arw
05005,Baxter County,05,arw
05007,Benton County,05,arw
05009,Boone County,05,arw
05011,Bradley County,05,arw
05013,Calhoun County,05,arw
05015,Carroll County,05,arw
05017,Chicot County,05,are
05019,Clark County,05,arw
05021,Clay County,05,are
05023,Cleburne County,05,are
05025,Cleveland County,05,are
05027,Columbia County,05,arw
05029,Conway County,05,are
05031,Craighead County,05,are
05033,Crawford County,05,arw
05035,Crittenden County,05,are
05037,Cross County,05,are
05039,Dallas County,05,are
05041,Desha County,05,are
05043,Drew County,05,are
05045,Faulkner County,05,are
05047,Franklin County,05,arw
05049,Fulton County,05,are
05051,Garland County,05,arw
05053,Grant County,05,are
05055,Greene County,05,are
05057,Hempstead County,05,arw
05059,Hot Spring County,05,arw
05061,Howard County,05,arw
05063,Independence County,05,are
05065,Izard County,05,are
05067,Jackson County,05,are
05069,Jefferson County,05,are
05071,Johnson County,05,arw
05073,Lafayette County,05,arw
05075,Lawrence County,05,are
05077,Lee County,05,are
05079,Lincoln County,05,are
05081,Little River County,05,arw
05083,Logan County,05,arw
05085,Lonoke County,05,are
05087,Madison County,05,arw
05089,Marion County,05,arw
05091,Miller County,05,arw
05093,Mississippi County,05,are
05095,Monroe County,05,are
05097,Montgomery County,05,arw
05099,Nevada County,05,arw
05101,Newton County,05,arw
05103,Ouachita County,05,arw
05105,Perry County,05,are
05107,Phillips County,05,are
05109,Pike County,05,arw
05111,Poinsett County,05,are
05113,Polk County,05,arw
05115,Pope County,05,are
05117,Prairie County,05,are
05119,Pulaski County,05,are
05121,Randolph County,05,are
05123,St. Francis County,05,are
05125,Saline County,05,are
05127,Scott County,05,arw
05129,Searcy County,05,arw
05131,Sebastian County,05,arw
05133,Sevier County,05,arw
05135,Sharp County,05,are
05137,Stone County,05,are
05139,Union County,05,arw
05141,Van Buren County,05,are
05143,Washington County,05,arw
05145,White County,05,are
05147,Woodruff County,05,are
05149,Yell County,05,are
06001,Alameda County,06,cand
06003,Alpine County,06,caed
06005,Amador County,06,caed
06007,Butte County,06,caed
06009,Calaveras County,06,caed
06011,Colusa County,06,caed
06013,Contra Costa County,06,cand
06015,Del Norte County,06,cand
06017,El Dorado County,06,caed
06019,Fresno County,06,caed
06021,Glenn County,06,caed
06023,Humboldt County,06,cand
06025,Imperial County,06,casd
06027,Inyo County,06,caed
06029,Kern County,06,caed
06031,Kings County,06,caed
06033,Lake County,06,cand
06035,Lassen County,06,caed
06037,Los Angeles County,06,cacd
06039,Madera County,06,caed
06041,Marin County,06,cand
06043,Mariposa County,06,caed
06045,Mendocino County,06,cand
06047,Merced County,06,caed
06049,Modoc County,06,caed
06051,Mono County,06,caed
06053,Monterey County,06,cand
06055,Napa County,06,cand
06057,Nevada County,06,caed
06059,Orange County,06,cacd
06061,Placer County,06,caed
06063,Plumas County,06,caed
06065,Riverside County,06,cacd
06067,Sacramento County,06,caed
06069,San Benito County,06,cand
06071,San Bernardino County,06,cacd
06073,San Diego County,06,casd
06075,San Francisco County,06,cand
06077,San Joaquin County,06,caed
06079,San Luis Obispo County,06,cacd
06081,San Mateo County,06,cand
06083,Santa Barbara County,06,cacd
06085,Santa Clara County,06,cand
06087,Santa Cruz County,06,cand
06089,Shasta County,06,caed
06091,Sierra County,06,caed
06093,Siskiyou County,06,caed
06095,Solano County,06,caed
06097,Sonoma County,06,cand
06099,Stanislaus County,06,caed
06101,Sutter County,06,caed
06103,Tehama County,06,caed
06105,Trinity County,06,caed
06107,Tulare County,06,caed
06109,Tuolumne County,06,caed
06111,Ventura County,06,cacd
06113,Yolo County,06,caed
06115,Yuba County,06,caed
08001,Adams County,08,cod
08003,Alamosa County,08,cod
08005,Arapahoe County,08,cod
08007,Archuleta County,08,cod
08009,Baca County,08,cod
08011,Bent County,08,cod
08013,Boulder County,08,cod
08014,Broomfield County,08,cod
08015,Chaffee County,08,cod
08017,Cheyenne County,08,cod
08019,Clear Creek County,08,cod
08021,Conejos County,08,cod
08023,Costilla County,08,cod
08025,Crowley County,08,cod
08027,Custer County,08,cod
08029,Delta County,08,cod
08031,Denver County,08,cod
08033,Dolores County,08,cod
08035,Douglas County,08,cod
08037,Eagle County,08,cod
08039,Elbert County,08,cod
08041,El Paso County,08,cod
08043,Fremont County,08,cod
08045,Garfield County,08,cod
08047,Gilpin County,08,cod
08049,Grand County,08,cod
08051,Gunnison County,08,cod
08053,Hinsdale County,08,cod
