court_id,court_name,short_name,court_level,parent_id,tenure_type,authorized_judgeships,has_geography,is_inset,geometry_key
scotus,Supreme Court of the United States,SCOTUS,scotus,,life_tenured,9,false,false,
ca1,U.S. Court of Appeals for the First Circuit,1st Cir.,circuit,,life_tenured,6,true,false,ca1
ca2,U.S. Court of Appeals for the Second Circuit,2nd Cir.,circuit,,life_tenured,13,true,false,ca2
ca3,U.S. Court of Appeals for the Third Circuit,3rd Cir.,circuit,,life_tenured,14,true,false,ca3
ca4,U.S. Court of Appeals for the Fourth Circuit,4th Cir.,circuit,,life_tenured,15,true,false,ca4
ca5,U.S. Court of Appeals for the Fifth Circuit,5th Cir.,circuit,,life_tenured,17,true,false,ca5
ca6,U.S. Court of Appeals for the Sixth Circuit,6th Cir.,circuit,,life_tenured,16,true,false,ca6
ca7,U.S. Court of Appeals for the Seventh Circuit,7th Cir.,circuit,,life_tenured,11,true,false,ca7
ca8,U.S. Court of Appeals for the Eighth Circuit,8th Cir.,circuit,,life_tenured,11,true,false,ca8
ca9,U.S. Court of Appeals for the Ninth Circuit,9th Cir.,circuit,,life_tenured,29,true,false,ca9
ca10,U.S. Court of Appeals for the Tenth Circuit,10th Cir.,circuit,,life_tenured,12,true,false,ca10
ca11,U.S. Court of Appeals for the Eleventh Circuit,11th Cir.,circuit,,life_tenured,12,true,false,ca11
cadc,U.S. Court of Appeals for the D.C. Circuit,D.C. Cir.,circuit,,life_tenured,11,true,false,cadc
cafc,U.S. Court of Appeals for the Federal Circuit,Fed. Cir.,circuit,,life_tenured,12,false,false,
med,U.S. District Court for the District of Maine,D. Me.,district,ca1,life_tenured,3,true,false,med
mad,U.S. District Court for the District of Massachusetts,D. Mass.,district,ca1,life_tenured,13,true,false,mad
nhd,U.S. District Court for the District of New Hampshire,D.N.H.,district,ca1,life_tenured,3,true,false,nhd
rid,U.S. District Court for the District of Rhode Island,D.R.I.,district,ca1,life_tenured,3,true,false,rid
prd,U.S. District Court for the District of Puerto Rico,D.P.R.,district,ca1,life_tenured,7,true,true,prd
