president_name,wikipedia_title,photo_url,photo_source,photo_license
Richard M. Nixon,Richard Nixon,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Richard_Nixon_presidential_portrait_%282%29.jpg/330px-Richard_Nixon_presidential_portrait_%282%29.jpg,https://commons.wikimedia.org/wiki/File:Richard_Nixon_presidential_portrait_(2).jpg,Public domain
Gerald Ford,Gerald Ford,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Gerald_Ford_presidential_portrait_%28cropped%29.jpg/330px-Gerald_Ford_presidential_portrait_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Gerald_Ford_presidential_portrait_(cropped).jpg,Public domain
Jimmy Carter,Jimmy Carter,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Jimmy_Carter_Official_Portrait2_%283x4_cropped%29.jpg/330px-Jimmy_Carter_Official_Portrait2_%283x4_cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Jimmy_Carter_Official_Portrait2_(3x4_cropped).jpg,Public domain
Ronald Reagan,Ronald Reagan,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Official_Portrait_of_President_Reagan_1981.jpg/330px-Official_Portrait_of_President_Reagan_1981.jpg,https://commons.wikimedia.org/wiki/File:Official_Portrait_of_President_Reagan_1981.jpg,Public domain
George H.W. Bush,George H. W. Bush,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/George_H._W._Bush_presidential_portrait_%28cropped%29_%282%29.jpg/330px-George_H._W._Bush_presidential_portrait_%28cropped%29_%282%29.jpg,https://commons.wikimedia.org/wiki/File:George_H._W._Bush_presidential_portrait_(cropped)_(2).jpg,Public domain
William J. Clinton,Bill Clinton,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Bill_Clinton_%28cropped_4%29.jpg/330px-Bill_Clinton_%28cropped_4%29.jpg,https://commons.wikimedia.org/wiki/File:Bill_Clinton_(cropped_4).jpg,Public domain
George W. Bush,George W. Bush,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/George-W-Bush.jpeg/330px-George-W-Bush.jpeg,https://commons.wikimedia.org/wiki/File:George-W-Bush.jpeg,Public domain
Barack Obama,Barack Obama,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/President_Barack_Obama.jpg/330px-President_Barack_Obama.jpg,https://commons.wikimedia.org/wiki/File:President_Barack_Obama.jpg,Public domain
Donald J. Trump,Donald Trump,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Official_Presidential_Portrait_of_President_Donald_J._Trump_%282025%29.jpg/330px-Official_Presidential_Portrait_of_President_Donald_J._Trump_%282025%29.jpg,https://commons.wikimedia.org/wiki/File:Official_Presidential_Portrait_of_President_Donald_J._Trump_(2025).jpg,Public domain
Joseph R. Biden,Joe Biden,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Joe_Biden_presidential_portrait.jpg/330px-Joe_Biden_presidential_portrait.jpg,https://commons.wikimedia.org/wiki/File:Joe_Biden_presidential_portrait.jpg,Public domain
