court_id,anchor_x,anchor_y,size,notes
ca1,2050017,2637128,,
ca10,-847502,1670095,,
ca11,980746,1060527,,
ca2,1689442,2524049,,
ca3,1549384,2136046,,
ca4,1468431,1611706,,
ca5,-1946,901833,,
ca6,1081954,1887146,,
ca7,672111,1854357,,
ca8,-101504,2330798,,
ca9,-1908559,1969465,,
cadc,2341048,1553529,,
cafc,2029097,935444,,"Federal Circuit has no geography (has_geography=false) so it has no shape to centre on; parked in open water off the 11th Circuit. Tune with tools/tune-seat-blocks.html."
cit,1838204,550000,,No geography; placed by hand.
uscfc,2194537,550000,,No geography; placed by hand.
ctd,182639,-151492,,
mad,-157989,-236143,,
med,65960,87935,,
nhd,-124467,-104770,,
nyed,161242,-250650,,
nynd,1245,26286,,
nysd,78841,-184785,,
nywd,-242024,-35256,,
prd,209200,-203111,,
rid,-126575,-313482,,
vtd,166442,106870,,
ded,149067,-192966,,
njd,247328,-59944,,
paed,143894,-50453,,
pamd,12778,22712,,
pawd,-175063,17892,,
vid,375481,-38026,,
mdd,235342,320501,,
nced,138550,-122862,,
ncmd,-29731,-67714,,
ncwd,-182551,-80518,,
scd,-121304,-287814,,
vaed,201936,105880,,
vawd,17590,121905,,
wvnd,-60314,291191,,
wvsd,-173332,176424,,
laed,671905,-149889,,
lamd,575955,-101776,,
lawd,425469,-20342,,
msnd,700714,300286,,
mssd,689422,57109,,
txed,211877,36394,,
txnd,-262988,149328,,
txsd,75250,-258440,,
txwd,-138909,-180687,,
kyed,105576,-279796,,
kywd,-113785,-308947,,
mied,123711,317263,,
miwd,-61144,420585,,
ohnd,243593,147063,,
ohsd,153611,-59273,,
tned,60833,-465769,,
tnmd,-198449,-458521,,
tnwd,-349294,-477210,,
ilcd,-64643,-188714,,
ilnd,27343,2540,,
ilsd,-7855,-395872,,
innd,222906,-69513,,
insd,219869,-278938,,
wied,21033,266312,,
wiwd,-135954,266659,,
are,449046,-853998,,
arw,276147,-981695,,
iand,237364,12169,,
iasd,238513,-154499,,
mnd,159433,345557,,
moed,484339,-528618,,
mowd,276438,-529751,,
ndd,-285658,528467,,
ned,-246450,-138081,,
sdd,-295202,190541,,
akd,-1557447,531941,,
azd,369821,-816987,,
cacd,-87246,-805678,,
caed,-433266,-342940,,
cand,-679149,-311453,,
casd,-24955,-1050360,,
hid,-1083254,-660276,,
idd,81248,207043,,
mtd,462396,602231,,
nvd,-87930,-253475,,
ord,-385118,239838,,
waed,-254085,635406,,
wawd,-601526,783465,,
cod,-45790,70748,,
ksd,564756,31762,,
nmd,-93777,-428620,,
oked,847012,-345920,,
oknd,797174,-171444,,
okwd,593833,-281769,,
utd,-568441,147742,,
wyd,-214199,528880,,
almd,-168597,87969,,
alnd,-243212,299469,,
alsd,-331462,42009,,
flmd,238080,-309714,,
flnd,-103038,-101780,,
flsd,384667,-482809,,
gamd,7120,81742,,
gand,-33007,307861,,
gasd,193268,67588,,
dcd,96464,143555,,
